blk_read_time,blk_write_time,calls,local_blks_dirtied,local_blks_hit,local_blks_read,local_blks_written,max_time,mean_time,min_time,query,queryid,rows,shared_blks_dirtied,shared_blks_hit,shared_blks_read,shared_blks_written,stddev_time,temp_blks_read,temp_blks_written,total_time
0.0,0.0,4758,0,0,0,0,3.774,0.0788232450609501,0.062,<insufficient privilege>,,4758,0,47580,0,0,0.108669461100009,0,0,375.040999999998
0.0,0.0,41,0,0,0,0,0.083,0.0427317073170732,0.026,<insufficient privilege>,,81,0,89,0,0,0.0132241914137872,0,0,1.752
0.0,0.0,264,0,0,0,0,0.063,0.0066969696969697,0.001,<insufficient privilege>,,0,0,0,0,0,0.00643374083409441,0,0,1.768
0.0,0.0,2,0,0,0,0,0.007,0.005,0.003,<insufficient privilege>,,0,0,0,0,0,0.002,0,0,0.01
0.0,0.0,13678,0,0,0,0,1.51,0.0349641760491302,0.019,<insufficient privilege>,,430076,4,13678,0,0,0.0298225566344152,0,0,478.239999999989
0.0,0.0,16,0,0,0,0,0.031,0.018,0.011,<insufficient privilege>,,0,0,32,0,0,0.00543139024560011,0,0,0.288
0.0,0.0,85552,0,0,0,0,25.55,0.0584093066205346,0.009,<insufficient privilege>,,0,0,346858,10,0,0.112052167493621,0,0,4997.03300000051
0.0,0.0,2,0,0,0,0,0.003,0.003,0.003,<insufficient privilege>,,0,0,0,0,0,0.0,0,0,0.006
0.0,0.0,2,0,0,0,0,0.005,0.004,0.003,<insufficient privilege>,,0,0,0,0,0,0.001,0,0,0.008
0.0,0.0,417,0,0,0,0,39.371,0.138618705035971,0.01,<insufficient privilege>,,417,0,908,3,0,1.93393873658613,0,0,57.8039999999999
0.0,0.0,10227,0,0,0,0,0.669,0.0261132296861249,0.016,<insufficient privilege>,,10227,0,10227,0,0,0.0129982393826375,0,0,267.059999999996
0.0,0.0,9,0,0,0,0,0.027,0.00988888888888889,0.002,<insufficient privilege>,,0,0,0,0,0,0.00833259255966786,0,0,0.089
0.0,0.0,72078,0,0,0,0,43.758,0.216102402952357,0.088,<insufficient privilege>,,231438,0,2119782,6,0,0.241018194423289,0,0,15576.2290000004
0.0,0.0,55582,0,0,0,0,7.137,0.0149120938433306,0.005,<insufficient privilege>,,0,0,1000,0,0,0.0472355364061967,0,0,828.844000000146
0.0,0.0,62,0,0,0,0,0.059,0.0158548387096774,0.01,<insufficient privilege>,,344,1,62,0,0,0.00704329187652027,0,0,0.983000000000001
0.0,0.0,67,0,0,0,0,0.284,0.0852388059701493,0.02,<insufficient privilege>,,832,0,2499,0,0,0.0288506651943483,0,0,5.711
0.0,0.0,34,0,0,0,0,0.131,0.0717058823529412,0.018,<insufficient privilege>,,217,0,113,0,0,0.0290825694832982,0,0,2.438
0.0,0.0,6,0,0,0,0,0.036,0.0295,0.025,<insufficient privilege>,,12,0,12,0,0,0.00373050488093323,0,0,0.177
0.0,0.0,4827,0,0,0,0,83.43,1.02669649886058,0.363,<insufficient privilege>,,28817,863,851366,27,0,2.09192023415822,0,0,4955.86399999999
0.0,0.0,38,0,0,0,0,0.509,0.327657894736842,0.272,<insufficient privilege>,,3462,0,266,0,0,0.0463268004255974,0,0,12.451
0.0,0.0,346016,0,0,0,0,3.741,0.0233679656432072,0.007,<insufficient privilege>,,0,0,41493,0,0,0.0207010903706076,0,0,8085.68999999873
0.0,0.0,44,0,0,0,0,63.668,6.45079545454545,0.043,<insufficient privilege>,,0,77,9319,33,0,10.9632862309113,0,0,283.835
0.0,0.0,2,0,0,0,0,0.033,0.0185,0.004,<insufficient privilege>,,0,0,0,0,0,0.0145,0,0,0.037
0.0,0.0,6,0,0,0,0,0.137,0.106166666666667,0.086,<insufficient privilege>,,63,0,48,0,0,0.0177333646616265,0,0,0.637
0.0,0.0,7,0,0,0,0,0.087,0.0658571428571429,0.051,<insufficient privilege>,,119,0,14,0,0,0.012194009904499,0,0,0.461
0.0,0.0,2950,0,0,0,0,4.437,0.00635118644067797,0.004,<insufficient privilege>,,0,0,2950,0,0,0.0817042499793865,0,0,18.7360000000004
